Nom de l'entreprise,Activite,Adresse,Ville,Coordonnees geographiques,RC,Tribunal,ICE,Forme Juridique,Capital
Nom de l'entreprise,Activite,Adresse,Ville,Coordonnees geographiques,Numero RC,Tribunal,ICE,Forme Juridique,Capital
INFORMATIQUE WEB, md de machine de bureau machine comptable et autres machines analogues (materiel informatiques), 9 Rue 12 Hay Ousra,Casablanca,33.535741498 : -7.58293346779, 96239,Tribunal de Casablanca, 001429672000006,Societe a Responsabilite Limitee, 100 000
GENERALE D'ENTREPRISE DE TRAVAUX DE TERRASSEMENT ROUTIERS ET BATIMENT (GETER)," entrepreneur de travaux divers, entrepreneur de travaux de constructions", Bd Modibokeita N224,Casablanca,33.56328 : -7.60153, 75691,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 100 000
CHATEAU PIECES AUTO, vente de pieces detachees d'auto, 495 Region Industrielle Sidi Ghanem Route Safi,Marrakech,31.66922 : -8.039231, 7559,Tribunal de Marrakech,,Societe a Responsabilite Limitee a Associe Unique, 160 000
STE BONRAE, bonneterie confection, 79 Rue Galilee Quartier Gautier,Casablanca,33.588457 : -7.627444, 39197,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 500 000
MAROMNIUM (STE), achat ente courtage de matieres premieres import export manutention et transport, 70 Rue Coli,Casablanca,33.59212 : -7.61274, 9423,Tribunal de Casablanca,,Societe Anonyme, 1 500 000
AMEUBLEMENT FILALI, fabricant de meubles marchand de tissus en gros marchand effectuant import-export, 393/395 Boulevard Sidi Abderrahman,Casablanca,33.58694440000001 : -7.6111111000000164, 42689,Tribunal de Casablanca, 001514270000016,Societe a Responsabilite Limitee, 3 000 000
LINEAU, marchand effectuant import export, 61 Bd Lalla Yacout Angle Mustafa El Maani,Casablanca,33.58694440000001 : -7.6111111000000164, 76827,Tribunal de Casablanca, 000522275000047,Societe a Responsabilite Limitee, 100 000
ABADOU (BOULANGERIE MODERNE), boulangerie, Ait Attab Centre,Azilal,32.1100219 : -6.7219593, 61,Tribunal de Azilal,,Societe en Nom Collectif, 203 000
AJA CONFECTION, fabricant de vetement confectionnes, Rue 1 Bd Fouarat N55,Casablanca,33.57525 : -7.57081, 78681,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 300 000
BATRAD (BATRAD)," batiment entretien et travaux divers, recherche financement pour projet lotissement", 2 Avenue Baghdad,Safi,32.29735 : -9.23362, 811,Tribunal de Safi, 001455827000078,Societe a Responsabilite Limitee, 800 000
BIJOUTERIE YAGOUTA, bijouterie et articles decoration, Magasin N12 Immeuble Oumlil Rue Hotel De Ville,Agadir (M),31.12001849999999 : -6.067919399999937, 4569,Tribunal de Agadir,,Societe a Responsabilite Limitee, 100 000
CHIFT ET CIE (STE), dessinateur etablissant des plans et des projets d'architecture (par sein traitance informatique), Rue Jabal El Ayachi N32 Agdal,Rabat,33.9954 : -6.846795, 29441,Tribunal de Rabat, 001809373000009,Societe en Nom Collectif, 10 000
TECHPACK (TECHPACK), marchand effectuant import-export, Bd Chefchaouni Km 12 Route 110 Quartier Industriel Ain Sebaa,Ain-Sebaa (AR),33.607914 : -7.536169, 54613,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 200 000
MOUSSAADA (STE)," societe d'investissement operations financieres, immobilieres", 164 Rue De Habous,Casablanca,33.574749 : -7.644499, 36083,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 45 000
AL FAROUK (AL-FAROUK), promotion immobiliere, Rue 09 N59 Tarik El Kheir Sidi Bernoussi,Casablanca,33.6093837342 : -7.49456489776, 73081,Tribunal de Casablanca, 000089997000028,Societe a Responsabilite Limitee a Associe Unique, 500 000
MAROCAINE D'INDUSTRIALISATION DE LA CONSTRUCTION (STE) (SMICO), l'exploitation exclusive du procede pascal, 4 Rue Annaba,Rabat,34.017064 : -6.828598, 24983,Tribunal de Rabat,,Societe Anonyme, 2 000 000
PROPEL (PROPEL), negociant, Bd Mohamed V N433,Casablanca,33.590214 : -7.591511, 78881,Tribunal de Casablanca, 001428459000068,Societe a Responsabilite Limitee, 10 000
GS2T, marchand et installateur fournitures et materiel electrique detection incendie systeme de securite sonorisation audiovisuel et teledistribution, 17 Rue El Mouhidine Hassane,Rabat,34.02395 : -6.824645, 61073,Tribunal de Rabat,,Societe a Responsabilite Limitee, 200 000
KATA CAR, location de voiture, Kissariat Morrabeh N9 Rue De Marrakech,Agadir-Ida Ou Tanane,30.416 : -9.589205, 6435,Tribunal de Agadir,,Societe a Responsabilite Limitee, 500 000
AUDIO VISUEL ET ANIMATION CULTURELLE (AVAC), audio visuel et animation culturelle, 112 Rue Ibnou Batouta,Casablanca,33.59175 : -7.613825, 68613,Tribunal de Casablanca,,Societe Anonyme, 100 000
MATERIEL DE PECHE D'AGRICULTURE ET TRAVAUX PUBLICS (P.A.T.P)," import-export de materiel de peche, d'agriculture et travaux publics, commercialisation de materiels de peche, travaux de location des engins de chantiers et travaux divers de construction", N330bis Rue Tekoka Hay Cheikh Lamfadel Bp 569,Sale,34.036539 : -6.80378, 4295,Tribunal de Sale,,Societe a Responsabilite Limitee, 150 000
ATLAS (STE D'EXPLOITATION DE CARRIERES DE L') (SECATLAS)," acquisition ou prise en location, exploitation de carrieres de marbre ou de pierres, leur extracation, faconnage, mise en valeur, gerance...", 81 Avenue Des Far,Casablanca,33.57356 : -7.55212, 31431,Tribunal de Casablanca,,Societe Anonyme, 2 500 000
IMMOPROM (IMMOPROM), promotion immobiliere, 16 Place Des Nations Immeuble Remar 1er Etage Ndeg 11,Tanger-Medina (AR),35.776893 : -5.803604, 5139,Tribunal de Tanger, 001647689000089,Societe a Responsabilite Limitee, 5 000 000
CASA FETES, traiteur, 298 Avenue Cdt Driss El Harti Cite Djemaa,Casablanca,33.54567 : -7.57713, 79377,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 100 000
ENTREPRISE AGAZOUMI," exploitant des mines, travaux miniers et publics", 113 Lot Centre Appt 1 1er Etage,Ouarzazate,30.91987 : -6.8935390000000325, 471,Tribunal de Ouarzazate,,Societe a Responsabilite Limitee, 7 000 000
OISIS PHONE, entrepreneur de travaux telephoniques, Rue El Imam El Jazouli Hay El Mohammedi Ensemble 5 N21,Marrakech,31.654219 : -7.998092, 8821,Tribunal de Marrakech,,Societe a Responsabilite Limitee a Associe Unique, 100 000
VET MAILLE, fabricant de vetements confectionnes, 259 Rte Moulay Thami Hay El Itihad El Mers,Casablanca,33.5619 : -7.67053, 67869,Tribunal de Casablanca,,Societe Anonyme, 400 000
WHEEL MOTOR, wheel motor, Rue 205 Cite Dakhla,Agadir-Ida Ou Tanane,30.427755 : -9.598107, 4673,Tribunal de Agadir,,Societe a Responsabilite Limitee, 100 000
SPECIAL AVICULTURE," marchand importateur, achat-vente mls d'aviculture", Rue Acquitaine Quartier Gauthier N5,Casablanca,33.590987 : -7.630909, 70643,Tribunal de Casablanca, 001609729000010,Societe a Responsabilite Limitee, 120 000
RAND ATLAS (STE), location d'articles de sport aquatique, Lalla Takarkoust Douar Amzough,Marrakech,31.633333 : -8, 7821,Tribunal de Marrakech,,Societe a Responsabilite Limitee, 500 000
PALAIS HOLDING COMPANY, promotion immobiliere et touristique, Rte De Malabata Baie De Tanger,Tanger-Assilah,35.77803 : -5.77446, 25479,Tribunal de Tanger, 000226359000083,Societe a Responsabilite Limitee, 100 000
TRAPONTA CONFECTION, confection et couvre lit., Lot 278 Quartier Industriel,El-Jadida,33.254174 : -8.508038, 1221,Tribunal de Eljadida,,Societe a Responsabilite Limitee, 2 000 000
LAMIDLAND NEGOCE, concessionnaire de services telephoniques et md de papeterier en demi gros," 600, Bd Moulay Youssef, 7eme Etage N 15",Casablanca,33.60057 : -7.63251, 96401,Tribunal de Casablanca, 000035361000024,Societe a Responsabilite Limitee, 100 000
ANFARIT (STE) (ANFARIT), operations immobilieres, 38 Rue Gallieni,Oujda-Angad,34.686527 : -1.909366, 3125,Tribunal de Casablanca,,Societe Anonyme, 500 000
NORD (CIMENT DU) (ISOMAT), la fabrication de beton et le commerce de tous materiaux de constructions, 31 Avenue Du Prince Heritier,Tanger-Assilah,35.77918 : -5.81234, 2867,Tribunal de Tanger,,Societe Anonyme, 10 000
STE ALTITUDE SERVICES," location et travaux des panneaux publicitaires, travaux divers, negociant, achats et ventes tout genre de produits, md effectuant import export, promotion immobilier, commissions et courtage", Rue Masaoud Wifkaoui Imm 20 N 9 Salam,Agadir-Ida Ou Tanane,30.427755 : -9.598107, 12803,Tribunal de Agadir, 001461508000048,Societe a Responsabilite Limitee, 10 000
DAROUICH MEHDI (STE) (DM), entrepreneur de travaux divers ou de construction, Avenue Beni Znassen N35,Rabat,33.945393 : -6.872992, 27365,Tribunal de Rabat,,Societe a Responsabilite Limitee, 100 000
OULMES KARROUBA (STE POUR L'EXPLOITATION DES EAUX MINERALES), exploitation de la source karrouba d'oulmes, Rue Mermoz,Meknes,33.895 : -5.554722200000015, 9356,Tribunal de Fes,,Societe a Responsabilite Limitee, 1 500 000
CENTRE PRIVE DE FORMATION ET D'EXPERTISE EN DOUANE (CFED), unitiation formation professionel,N/A,N/A,33.60219 : -7.63155, 151431,Tribunal de Casablanca,,Societe a Responsabilite Limitee a Associe Unique, 100 000
MISON CAR," loueur de vehicules automobiles, tenant une agence de voyages", 47 Bd My Youssef Et Hassan 1er Residence Souroure Appt N 10 3eme Etage,Casablanca,33.59529 : -7.63021, 64145,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 500 000
ROYALE ASTURIENNE DES MINES (CIE),, Bd Moulay Youssef,Casablanca,33.58694440000001 : -7.6111111000000164, 659,Tribunal de Oujda,,Societe Anonyme, 5 000 000
EXPANSION FINANCIERE ET INDUSTRIELLE (STE D'), participation dans toutes entreprises, 47 Avenue Poeymirau,Casablanca,33.594755 : -7.610325, 10321,Tribunal de Casablanca,,Societe Anonyme, 50 000
MAROCAIN D'EXPORTATION ET IMPORTATION (OFFICE), importation et exportation, Rue Henri Maugeard,Rabat,34.015049 : -6.832719999999995, 5470,Tribunal de Rabat,,Societe a Responsabilite Limitee, 18 000 000
GE RENEWABLES HYDRAULIQUE," commerce machines, engins et materiels electriques et mecaniques, chaudronnes ou nucleaires, importation"," 74, Boulevard Abdelmoumen",Casablanca,33.57838 : -7.6255, 91177,Tribunal de Casablanca, 001681230000074,Societe Anonyme Simplifiee, 3 000 000
AZILAL RABAT (STATION SERVICE), exploitation station service, Rue Azilal,Rabat,34.01817 : -6.821245, 24057,Tribunal de Rabat,,Societe Anonyme, 20 000
MAROCAINE DE PAPETERIE CORTONNAGE ET IMPRESSION (STE), travaux d'imprimerie d'edition de transformation de tous cartons et papiers, Ksar Labhar Ii Lot 31-33 Cite Djemaa Secteur S Avenue S,Casablanca,33.550923605 : -7.58489168368, 41343,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 300 000
SOCIETE DE FABRICATIONS D'INSIGNES ARTISTIQUES (SFIA), la confection, 46 Rue Haroun Rachid,Tanger-Assilah,35.76896 : -5.81894, 5795,Tribunal de Tanger,,Societe Anonyme, 400 000
LAMAR (IMPORT-EXPORT), import-export, Av Tiro Lichon,Tetouan,35.572464 : -5.375723, 2199,Tribunal de Tetouan,,Societe a Responsabilite Limitee, 20 000
ARPHOT (STE) (ARPHOT), photographie, Rue Tarik Ibn Ziad N44,Marrakech,31.63606 : -8.01169, 5485,Tribunal de Marrakech,,Societe a Responsabilite Limitee, 200 000
CINEMA ATLAS," exploitation d'un cinema, agence de distribution de films en provenance de tous pays, en toutes longues et en tous modeles sans exception", Rue Margaux,Casablanca,33.583451 : -7.596945, 13653,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 1 500 000
ROUSSEL CONSULTING," la societe a pour objet : - toutes operations de conseil, d'etude et d'assistance dans les domaines lies a l'agriculture, a l'agroalimentaire et a l'aquaculture ; - la definition, l'adaptation et l'elaboration de strategies - l'obtention, la concession, l'exploitation et la vente, de tous brevets, marques, licences et procedes ; - la participation dans toutes operations commerciales et industrielles, soit directement, soit indirectement, par voie de creation de societes nouvelles, d'apports, commandites, souscriptions ou achats de titres sociaux, fusions, alliances ; - et generalement, toutes operations commerciales, industrielles, mobilieres et financieres se rattachant directement ou indirectement, en totalite ou en partie, a l'un quelconque des objets specifies ou a tous objets similaires ou connexes", N 16 Avenue Mohamed V,Oued-Ed-Dahab,23.711428 : -15.921386,N/A,N/, 001711660000054,Societe a Responsabilite Limitee a Associe Unique, 50 000
PROFNEG," achat, vente, distribution, importateur de toutes sortes d'articles (societe de negoce)", 131 Bd Abdelmoumen N 17 4 Etage,Casablanca,33.58012 : -7.6249, 151807,Tribunal de Casablanca,,Societe a Responsabilite Limitee a Associe Unique, 10 000
SUD SERVICES PLUS, etude - installation - maintenance - froid & climatisation et commerce general import export," Av. Chahid Bouchraya, Imm. Chhibanna Appt. N 01",Laayoune,27.158503 : -13.207882, 3283,Tribunal de Laayoune,,Societe a Responsabilite Limitee, 100 000
LA PERLE DE LA BEAUTE D'AGADIR, l'import export du materiels d'esthetique, En Face De La Wilaya D'agadir Plateau N3 Imm Noussairi Bd G Kettani Vn,Agadir-Ida Ou Tanane,30.427755 : -9.598107, 12103,Tribunal de Agadir,,Societe a Responsabilite Limitee, 100 000
SOCIETE IMMOBILIERE DE L'HOTEL GAUTIER, construction de tous immeubles et leur exploitation location ou autrement, Avenue Hassan Ii,Sale,34.033333 : -6.8, 3111,Tribunal de Marrakech, 001855569000040,Societe Anonyme, 300 000
MICHLIFEN (STE HOTELIERE DU BAR RESTAURANT DU)," la creation l'acquisition, la gerance, l'installation et l'exploitation de tous hotels, restaurants brasseries et cafes", ***,Ifrane,33.527538 : -5.104978, 11704,Tribunal de Meknes,,Societe a Responsabilite Limitee, 50 000
EQUIPEMENT SCIENTIFIQUE (STE L')," industrie et commerce en general de tous materiels et apareils scientifiques, industriels medicaux", 6 Rue De La Liberation,Casablanca,33.58694440000001 : -7.6111111000000164, 14971,Tribunal de Casablanca,,Societe Anonyme, 10 000
MOULINE FRERES, loueur de vehicules automobiles, 7 Rue Trables,Rabat,34.016967 : -6.830091, 24224,Tribunal de Rabat,,Societe en Nom Collectif, 10 000
FARAH COUTURE (FACOUT), couture tissage confection en general, Rue Lala Taaza Dchaira,Inezgane- Ait Melloul,30.3658333 : -9.538055600000007, 539,Tribunal de Agadir,,Societe a Responsabilite Limitee, 25 000
SUD LATITUDE," courtier d'immeubles, administrateur de biens", 31 Derb Elakkari Bab Lakhmis,Marrakech-Medina (AR),31.63398 : -7.98338, 20167,Tribunal de Marrakech, 001730068000066,Societe a Responsabilite Limitee, 100 000
SECURE TRAVEL AGENCY HANIF, organisation de voyages - billetterie - location de voitures - tourisme,N/A,N/A,33.991171 : -6.828135, 44779,Tribunal de Rabat, 000016393000097,Societe a Responsabilite Limitee, 1 380 000
CASTILLO ET CIE, exploitation d'unse usine de crin vegetal et toutes operations s'y rapportant, A Rue Normandie,Kenitra,34.257394 : -6.590154, 14585,Tribunal de Rabat,,Societe a Responsabilite Limitee, 800 000
JEANS DAVY, la fabrication la transforamtion l'achat la vente d'une facon gene0, 36 Bd De Gergori Et Angle Rue Des Francais,Casablanca,33.601514 : -7.578239, 49641,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 5 000 000
TRANSIT INTERNATIONAL MEKNASSI, tous travaux de transit, Quartier Industriel Ste Sicom Bp 182,Meknes,33.894082 : -5.544582, 18125,Tribunal de Meknes,,Societe Anonyme, 100 000
MAS FRUTS TRADE INTERNATIONAL (MFTI)," negoce en general, achat, vente, representation, diffusion, commercialisation et transport de tous moyen de tout produit", Immeuble 368 6e Etage N18 Avenue Mohamed V,Kenitra,34.279352 : -6.544314, 26113,Tribunal de Kenitra,,Societe a Responsabilite Limitee, 60 000
COMPTOIR DES COMPOSANTS D'AUTOMATISME (CDCA), representation et distribution de composants d'automatismes, 18 Rue Des Acacias Qurtier Maarif Casa,Casablanca,33.57189 : -7.64432, 115107,Tribunal de Casablanca, 001564049000015,Societe a Responsabilite Limitee, 100 000
WIRQUIN MAROC, fabricant et exportateur de produits en ceramique sanitaire., Lotissement J Quartier Industrielle,Berrechid (M),33.270982 : -7.584739, 255,Tribunal de Berrechid,,Societe a Responsabilite Limitee, 15 000 000
SAFI ENTREPRISE NOUVELLE DE CONSTRUCTION KHALIL (SENOCOK), entrprise de construction et travaux divers, 8 Rue Ohod,Safi,32.290575 : -9.22748, 395,Tribunal de Safi,,Societe a Responsabilite Limitee, 30 000
CONFECTION TANGEROISE MODERNE (COTAMODE), confection de lingerie, 32 Bd Zerktouni 5eme Etage Appt. N50,Tanger-Assilah,35.778984 : -5.808854, 3639,Tribunal de Tanger, 001451662000013,Societe Anonyme, 500 000
OLYMPIA MAROC (STE), entreprise generale de peintures construction achat vente tous produits materiaux..., Immb Domec Bd De La Grance Ceinture,Casablanca,33.58694440000001 : -7.6111111000000164, 23645,Tribunal de Casablanca,,Societe Anonyme, 10 000
EAST BUSINESS DU COMMERCE (SEBC), import-export, Rue El Khansaa N4,Oujda-Angad,34.671019 : -1.913658, 14671,Tribunal de Oujda,,Societe a Responsabilite Limitee, 10 000
DEV INFORMATIQUE," entrepreneur de travaux mecanographiques, informatiques, marchand papetier, fournitures et articles", 1 Rue Hsain Ramadan,Casablanca,33.588457 : -7.627444, 88861,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 105 000
SECURE NETWORK ACCESS (S E N A C), le service et l'ingenerie dans tous les domaines de l'informatique et des telecommunications et de multimedia, 12 Av Hassan Ii Vn Fes,Fes,34.037853 : -4.0026, 20007,Tribunal de Fes, 001517473000059,Societe a Responsabilite Limitee, 100 000
ENTREPRISE HACHIM PEINTURE, travaux de peinture et decoration, Lot Al Amal 1 N9,Ain Harrouda(M),33.639416 : -7.453087, 4961,Tribunal de Mohammedia, 000211824000066,Societe a Responsabilite Limitee a Associe Unique, 20 000
HOK 3, promotion immobiliere, N12 Rue Taourirt Quartier Camp Turpin,Casablanca,33.58694440000001 : -7.6111111000000164, 94597,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 100 000
STE PINSCH BAMAG MAROC (PBM)," assemblage et fabrication de plaques solaires, conserverie", Secteur P Lot N26 Founty,Agadir-Ida Ou Tanane,30.427755 : -9.598107, 3671,Tribunal de Agadir,,Societe Anonyme, 100 000
STE EVEREST JAWDA, la promotion immobiliere, Appt N 18 4eme Etg Imm N 10 Rue Ibn Attiya,Marrakech,31.631949 : -8.003535, 29041,Tribunal de Marrakech,,Societe a Responsabilite Limitee, 100 000
SABLE D'OR MELLALI (SABLORM), exploitants de carrieres, Taghzirth Ait Hbibi Par Beni Mellal,Beni Mellal,32.336179 : -6.355309, 269,Tribunal de Beni Mellal,,Societe Anonyme, 3 000 000
NOMAD'PRODUCTIONS, production audiovisuelle et cinematographique," 5 Rue Al Bouhtour, 1ere Etage Maarif Casa",Casablanca,33.589313 : -7.630935, 119193,Tribunal de Casablanca, 000159232000067,Societe a Responsabilite Limitee, 100 000
MEUBLE (ATELIER DU), la fabrication de tous meubles et objets d'ameublement ainsi que tous travaux d'ebenisterie et de menuiserie l'exploitation de tous ateliers...., Rue Regnault,Agadir-Ida Ou Tanane,30.416 : -9.589205, 3013,Tribunal de Marrakech,,Societe a Responsabilite Limitee, 900 000
MARNED INTERNATIONAL, import-export, Av Youssef Ben Tachfine Imm Chaouia 3e Etage N17,Tanger-Assilah,35.77421 : -5.80235, 5569,Tribunal de Tanger,,Societe a Responsabilite Limitee, 10 000
GZAGHAR POUCET MARRAKECH, acquisition et exploitation de restaurants brasserie cafe, 20 Rue Ibn Aicha Gueliz,Gueliz (AR),31.6333333 : -8, 4913,Tribunal de Marrakech,,Societe a Responsabilite Limitee, 520 000
LABORDE ET CIE (STE), installation reparation transformation entretien electricite generale appareils menagers radiophoniques sonocisation television achat vente..., Imm Laborde Rue De L'esterel Ain Diab,Casablanca,33.594146 : -7.646586, 8643,Tribunal de Casablanca,,Societe en Nom Collectif, 150 000
FONTE ET MACHINES," toutes affaires commerciales, industrielles, immobilieres", 145 Rue Prince Heritier,Tanger-Assilah,35.77599 : -5.81108, 1755,Tribunal de Tanger,,Societe a Responsabilite Limitee, 100 000
IRAHALEN L'AVENTURE AU SAHARA," organisateur des circuits touristiques, randonnees et bivoucs loueur d'aimaux entrepreneur de transport de marchandises pour autrui", 27 Ave Med V,Zagora (M),30.334991 : -5.83708, 353,Tribunal de Zagora, 001853148000029,Societe a Responsabilite Limitee, 10 000
FIORINOX, chaudronnier en fer marchand effectuant import-export, Bloc 12 Ndeg 50 Bernoussi,Casablanca,33.610869 : -7.504093, 113301,Tribunal de Casablanca,,Societe en Nom Collectif, 3 000 000
SA.BA.SA, import export, 61 Bd Lalla Yacout Angle Rue Mustapha Maani Centre Commercial Riad 2eme Etage N 76,Casablanca,33.591 : -7.61333, 150897,Tribunal de Casablanca,,Societe a Responsabilite Limitee a Associe Unique, 100 000
HACHIMI D'EXPLOITATION ET COMMERCIALISATION DE MATERIAUX (HECOMT)," exploitation, commercialisation de carriere et materiaux divers", Lot El Fath El Massira N110,Inezgane- Ait Melloul,30.3658333 : -9.538055600000007, 385,Tribunal de Inzegane,,Societe Anonyme, 500 000
KARMA DE REVETEMENT, entreprise de travaux publics, Lot Laraichi N118 El Bassatine,Meknes,33.895 : -5.554722200000015, 18957,Tribunal de Meknes, 001724760000016,Societe a Responsabilite Limitee, 800 000
STE XALIAMO, promoteur a la construction d'immeubles, Residence Al Mourad 1er Etage Appt 4 Av Mohamed V Gueliz Chez Ste Ongl Star,Marrakech,31.634715 : -8.012262, 23695,Tribunal de Marrakech,,Societe a Responsabilite Limitee, 200 000
GENERALE DE GESTION ET DE PARTICIPATIONS (CIE) (COGEPA), etude mise en participation de toutes fabrication ou ese creation exploitation de toutes operations ou ese creation exploitation loaction etc, 62 Rue Chevaudier De Valdrome,Casablanca,33.58694440000001 : -7.6111111000000164, 25055,Tribunal de Casablanca,,Societe Anonyme, 1 000 000
TALENTS COMMUNNICATION, exploitation d'une agence en communication, N 41 Rue Imam Aloussi Bourgogne,Casablanca,33.59461 : -7.64075, 150177,Tribunal de Casablanca, 000214689000020,Societe a Responsabilite Limitee, 100 000
BALEAR INVEST," principalement, la gestion de portefeuille de valeur mobiliere, le holding et la participation directe ou indirecte, sous toutes les formes et par tous les moyens, dans toutes operations financieres, immobilieres ou mobilieres et dans toutes entreprises commerciales ou industrielles, creees ou a creer, pour l'exercice de toutes activites. la gestion, l'administration, l'organisation, le soutien logistique et technique de toutes entreprises, projets ou affaires ainsi que le developpement entrepreunarial. et generalement, toutes operations industrielles, commerciales, financieres, civiles, mobilieres ou immobilieres, pouvant se rattacher directement ou indirectement a l'objet vise ci-dessus ou a tous objets similaires ou annexes susceptibles de favoriser le developpement de la societe"," Route De Malabata, Residence The Royal Offshore Entre Sol N B 4",Tanger-Medina (AR),35.77803 : -5.77446, 31339,Tribunal de Tanger, 001452579000086,Societe a Responsabilite Limitee a Associe Unique, 100 000
AZTECH, fabricant de vetement confectionnes, Rue 40 N1 Hay Anagrit,Casablanca,33.5566740234 : -7.59972188943, 75149,Tribunal de Casablanca, 001515111000007,Societe a Responsabilite Limitee, 1 000 000
BINATRAP, import export entrepreneur de travaux divers, 207 209 Bd De La Resistance,Casablanca,33.583285 : -7.61427, 99021,Tribunal de Casablanca, 000038937000084,Societe a Responsabilite Limitee, 500 000
RIFAIRWAYS," operateur de transport aerien, maritime et terrestre des voyageurs. - representation des compagnies de transport des voyageurs international et national."," 26, Rue Ibn Rochd 1er Etage",Nador (M),35.17835 : -2.926935, 6957,Tribunal de Nador,,Societe a Responsabilite Limitee, 2 910 000
FOUR INDU SINAGE," fabrication, mecanique, tournage, fraisage et confection", 67 Rue De Damas 1er Etage,Berrechid (M),33.264168 : -7.586793, 3269,Tribunal de Berrechid, 000226734000046,Societe a Responsabilite Limitee a Associe Unique, 10 000
SALMA MEHDI, trieur de dechet et residus chimique organique et inorganique, 493 Boulevard Zerktouni 3eme Etage,Casablanca,33.60255 : -7.63953, 157109,Tribunal de Casablanca, 000168418000074,Societe a Responsabilite Limitee, 100 000
LIPO MINCE CENTER, import / export, Bd Hassan Ii Hay Hassani Imm Dahir Magasin N 2,Marrakech-Medina (AR),31.6333333 : -8, 28737,Tribunal de Marrakech,,Societe a Responsabilite Limitee, 10 000
MAROCAINE (BOULANGERE), exploitation d'une boulangerie, 179-183 Bd De La Liberte,Casablanca,33.58694440000001 : -7.6111111000000164, 7183,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 2 000 000
CONSTRUCTION ET DE TOUS CORPS D'ETAT (STE DE) (SOCOTCOR), tous les travaux de construction et tous corps d'etat, 16 Rue Goundafa,Rabat,33.99331 : -6.81674, 25869,Tribunal de Rabat,,Societe a Responsabilite Limitee, 21 000
CARRIERA (STE LA) (SA)," promoteur a la construction d'immeubles, entrepreneur de travaux divers", Rue Figuig N4,Rabat,34.013589 : -6.828259, 29879,Tribunal de Rabat,,Societe a Responsabilite Limitee, 500 000
BIG BANANA POWER TOUR, location de jeux de mer, Sahat Anoual Hay Hassani N26,Inezgane- Ait Melloul,30.375264 : -9.545682, 407,Tribunal de Inzegane,,Societe a Responsabilite Limitee, 100 000
STE COOPERATIVE DE L'ASSOCIATION DES PETITS TRANSPORTEURS DE MEKNES ET DE LA REGION, transport public en commun de voyageurs., 32 Dar Smen.,Meknes,33.894082 : -5.544582, 4615,Tribunal de Fes,,Societe Anonyme, 20 400
ESSALMIA DES TRAVAUX (STE), entrepreneur de travaux divers ou constructions, 163 Avenue John Kennedy Souissi,Rabat,33.998538 : -6.827455, 42143,Tribunal de Rabat,,Societe a Responsabilite Limitee, 10 000
SHAMS (STE IMPORT EXPORT), import export de tous produits agricoles, 9 Bd Mansour Dahbi,Tanger-Assilah,35.776397 : -5.810649, 5409,Tribunal de Tanger,,Societe Anonyme, 100 000
N.O.A BATIMENT, entrepreneur de travaux divers ou de construction., 8 Bd Khouribga 7eme Etage Appt. 37,Casablanca,33.589372 : -7.607711, 114501,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 100 000
KING SPORTSWEAR," la societe a pour objet : - principalement, achat, vente, textile, confection, et la distribution de tout produits sportifs - (marketing sportif et publicitaire, l'importation et l'exportation de panneaux publicitaires dans les espaces verts servant et rentrant dans le cadre de l'activite de la societe, la sous-traitance avec toutes ses formes legales et reglementaires, la representation commerciale, - la construction tels que les garages, les depots pour garde des marchandises en bon etat. - achat, vente, en gros ou en detail, de tous materiels ou produits lies aux operations ci-dessus indiquees. . - la publicite la communication, evenementiel, et organisation des congres et des foires commerciaux. - la societe peut prendre a l'avenir d'autres activites sur l'accord general de tous les associes, et ce a titre d'extension pour le developpement et le bien de la societe. plus generalement, toutes operations commerciales, industrielles, financieres, mobilieres ou immobilieres ainsi que to"," 5e age, N54 Ridence Dos Mares 1, Ang Rue Ibn Katir Et Avenue Med V",Tanger-Medina (AR),35.776035 : -5.800704, 31581,Tribunal de Tanger, 001536514000052,Societe a Responsabilite Limitee, 100 000
LOVATOURS (LOVATOURS), tenant agence de voyages, 115 Bd D'anfa,Casablanca,33.59407 : -7.62918, 76585,Tribunal de Casablanca, 000514009000032,Societe Anonyme, 250 000
STE BOUZOUBAA ANASS," tenant un bureau d'etudes, entrepreneur de travaux divers", 53 Av Med Zerktouni,Fes-Medina (AR),34.0333333 : -5, 16393,Tribunal de Fes,,Societe a Responsabilite Limitee, 200 000
LEO CONSTRUCTION (STE), entrepreneur d'installation electriques, 34 Rue Mellilia,Oujda-Angad,34.687623 : -1.916149, 14203,Tribunal de Oujda,,Societe a Responsabilite Limitee, 100 000
