Nom de l'entreprise,Activite,Adresse,Ville,Coordonnees geographiques,RC,Tribunal,ICE,Forme Juridique,URL,Capital
SUPER CERAME, fabrication et commercialisation d'articles ceramiques, 239 Boulevard Mohamed V,Casablanca,33.593485 : -7.603666,78917,Tribunal de Casablanca,505000042.0,,societe-super-cerame-72765, 200 000 000 
LEONI WIRING SYSTEMS BOUSKOURA, fabrication de cablages electriques pour l'automobile, Zone Industrielle Centre Bouskoura B.p 75,Bouskoura,33.449332 : -7.648521,31339,Tribunal de Casablanca,230827000018.0,,societe-leoni-wiring-systems-bouskoura-61095, 36 625 800 
SOCIETE PHARMACEUTIQUE DE REPARTITION ET LOGISTIQUE (SPRL ), commerce en gros de produits pharmaceutiques, Zone Industrielle Hay My Rachid Av Mohamed Radi Lot 89,Moulay Rachid (AR),33.573358 : -7.552594,85261,Tribunal de Casablanca,1526474000017.0,,societe-societe-pharmaceutique-de-repartition-et-logistique-81045, 21 000 000 
SOCIETE POUR LA REALISATION DU PORT DE TANGER MEDITERRANEE (SRPTM), entrepreneur de travaux divers, Zone Franche D'exportation De Ksar El Majaz Parcelle N 1 Oued Rmel Commune Anjra Rte Fnideq,Tanger-Assilah,35.735074 : -5.765827,25203,Tribunal de Tanger,1454010000055.0,,societe-societe-pour-la-realisation-du-port-de-tanger-mediterranee-158540, 356 911 
BAYER, produits pharmaceutiques. distribution de produits chimiques," Bd Sidi Mohamed Ben Abdellah, Tour Ivoire 1, 3degetage. Marina , Bourgogne",Casablanca,33.58694440000001 : -7.6111111000000164,30183,Tribunal de Casablanca,1526508000069.0,,societe-bayer-60984, 250 778 000 
MED Z," amenagements touristiques, offshoring, zones industrielles."," Espace Les Oudayas, Angle Avenue Annakhil Et Avenue Mehdi Benbarka, Hay Ryad",Rabat,33.961593 : -6.877199,20365,Tribunal de Rabat,1509045000053.0,,societe-med-z-19275, 2 154 797 500 
EVIOSYS PACKAGING MAROC (EPM), fabrication d'emballage metallique - commerce de metaux, Bd Chefchaouni Route Secondaire 110 Km 10 Quartier Industriel Ain Sebaa,Ain-Sebaa (AR),33.607914 : -7.536169,2973,Tribunal de Casablanca,204799000009.0,,societe-eviosys-packaging-maroc-8349, 163 895 520 
LA MAROCAINE DES JEUX ET DES SPORTS (M.D.J.S), l'organisation l'exploitation des paris sur les competitions sportives," 33, Bd Rachidi",Casablanca,33.59317 : -7.62715,215593,Tribunal de Casablanca,1597757000050.0,,societe-la-marocaine-des-jeux-et-des-sports-12069, 5 000 000 
SOCIETE DE TRAVAUX AGRICOLES MAROCAINS (STAM)," entrepreneur de travaux divers, exploitant de carrieres (stations concassage), le commerce sous toutes ses formes en gros et en detail de tous objets marchandise machines et materiels necessaires a l'execution de tous travaux agricoles.", Rue Abou Hadil Allaf Place Belair Residence Salma Quart Gauthier,Casablanca,33.592124 : -7.628701,67607,Tribunal de Casablanca,1543167000065.0,,societe-societe-de-travaux-agricoles-marocains-46946, 210 000 000 
REGIE 3, la representation de tout support en vue de la commercialisation de son espace publicitaire etc...," << Marina De Casablanca >>, Tour Ivoire I,4eme Etage",Casablanca,33.533333 : -7.583333,63381,Tribunal de Casablanca,1514904000067.0,,societe-regie-3-48576, 10 000 000 
ATLAS VEHICULES INDUSTRIELS, construction et commercialisation de vehicules automobiles, Bd Moulay Ismail Route De Rabat Route Principale Ndeg 1 Km 6 Quartier Industriel Ain Sebaa,Ain-Sebaa (AR),33.599138 : -7.572174,72191,Tribunal de Casablanca,1527907000029.0,,societe-atlas-vehicules-industriels-42312, 50 000 000 
GHARB PAPIER ET CARTON (G.P.C), fabrication des articles d'emballages en carton - commerce des equipements de papier et carton,,,33.593485 : -7.603666,102341,Tribunal de Casablanca,1525141000021.0,,societe-gharb-papier-et-carton-106352, 198 946 900 
BHF ATLAS PEINTURES, le negoce - fabrication de peinture et resine - marchand de produits chimiques., Chemin Des Giroflees Ain Sebaa Bp 20250,Ain-Sebaa (AR),33.586958 : -7.542374,27433,Tribunal de Casablanca,1539714000079.0,,societe-bhf-atlas-peintures-63277, 150 000 000 
RICHBOND (RICHBOND), fabrication de matelas - fabrication de literie et de salons - menuiserie, 265 Bd My Ismail Ain Sebaa,Ain-Sebaa (AR),33.5983 : -7.58178,32097,Tribunal de Casablanca,1524593000073.0,,societe-richbond-59578, 230 000 000 
LA ROUTE MAROCAINE (L.R.M.)," entrepreneur de travaux publics, travaux routiers, terrassements, lotissements, travaux urbains, amenagements de zones industrielles et touristiques - exploitation de carriere - importation de materiels",,,33.58694440000001 : -7.6111111000000164,143857,Tribunal de Casablanca,,,societe-la-route-marocaine-161399, 7 284 750 
IZDA, importation et commerce de ble,,,33.6191215734 : -7.48132719356,158063,Tribunal de Casablanca,191280000011.0,,societe-izda-181970, 20 000 000 
COMPAGNIE MINIERE DES GUEMASSA (CMG), l'exploitation des minieres," Twin Center, Tour A, Angle Boulevards Zerktouni Et Al Massira Al Khadra, Bp 16016, Maarif",Casablanca,33.580262 : -7.630217,34925,Tribunal de Casablanca,1527260000038.0,,societe-compagnie-miniere-des-guemassa-59374, 690 000 000 
SIEMENS," commerce de materiel electrotechnique, industriel et de telecommunication"," Gare Casa Port Boulevard Moulay Abderrahmane, 2eme Etage",Casablanca,33.58694440000001 : -7.6111111000000164,19253,Tribunal de Casablanca,203799000043.0,,societe-siemens-1434, 10 000 000 
BYMARO (BYMARO), genie civil - construction de batiments - travaux portuaires et publics, Tour Crystal 1 Etage 8 Casablanca Marina Boulevard Sidi Mohamed Ben Abdallah,Casablanca,33.605027 : -7.61988,61773,Tribunal de Casablanca,1525720000005.0,,societe-bymaro-46955, 4 000 000 
SOCIETE MAROCAINE DES FERTILISANTS (FERTIMA), fabrication et commerce de produits azotes et d'engrais,,,33.6018 : -7.64535,31581,Tribunal de Casablanca,1605719000028.0,,societe-societe-marocaine-des-fertilisants-60041, 115 000 000 
SICOTEL MOBILE, la telephonie et la prestation de service dans les domaines des telecommunications de l'intenet et des services des multimedia, 382 Route Eljadida,Casablanca,33.56942 : -7.64411,160507,Tribunal de Casablanca,168663000055.0,,societe-sicotel-mobile-189667, 30 000 000 
LES CELLIERS DE MEKNES, production et vente de vins en gros," Chateau Roslane, Commune Rurale Ikeddar",El Hajeb (M),33.666089 : -5.402882,17136,Tribunal de Meknes,1526939000072.0,,societe-les-celliers-de-meknes-27966, 460 000 000 
STE MEDITERRANEENNE POUR L'INDUSTRIE AUTOMOBILE (SMEIA )," commercialisation des marques: bmw, mini, land rover - vente de pieces de rechange", 47 Bd Ba Hamad,Casablanca,33.58931 : -7.5922,40489,Tribunal de Casablanca,131845000085.0,,societe-ste-mediterraneenne-pour-l-industrie-automobile-56689, 75 000 000 
GRADERCO (GRADERCO), negoce de cereales et derives et legumes.,,,33.59343 : -7.62006,69305,Tribunal de Casablanca,27327000050.0,,societe-graderco-43079, 21 000 000 
SEFAMAR (SEFAMAR)," fabrication de carrosseries et remorques - usine d'assemblage de camion, bus", Rue F Lot 25-26 Route Des Zenatas R.s 111 (cotiere) Nouveau Secteur Industriel Ain Sebaa,Ain-Sebaa (AR),33.601564 : -7.545368,63401,Tribunal de Casablanca,1529444000046.0,,societe-sefamar-46549, 100 000 000 
STE FRERES ASSAKOUR (SOFA), distribution en gros de materiel electrique., 30 Boulevard Khalid Ibn Oualid Ain Sebaa,Ain-Sebaa (AR),33.5688 : -7.60363,34137,Tribunal de Casablanca,1524663000026.0,,societe-ste-freres-assakour-59451, 144 400 000 
YOUSRA LI TAJHIZ, promotion immobiliere," 239, Boulevard Mohammed V",Casablanca,33.593485 : -7.603666,130989,Tribunal de Casablanca,1527593000068.0,,societe-yousra-li-tajhiz-147360, 620 000 000 
VOLVO MAROC," construction, reparation et commerce de poids lourd et pieces de rechanges"," Autoroute Casablanca-rabat Km 13,6 Ain Harrouda",Ain Harrouda(M),33.649785 : -7.417386,105267,Tribunal de Casablanca,35510000075.0,,societe-volvo-maroc-109599, 80 000 000 
CHARAF CORPORATION," import export - commerce produits de semence, de produits phytosanitaires et protection des plantes, du developpement de l'elevage"," 26 Bd Abou Al Waqt Khalaf (angle Bd Mohamed Ben Abdellah), Quartier El Hank",Casablanca,33.6018 : -7.64535,54893,Tribunal de Casablanca,1527006000009.0,,societe-charaf-corporation-1242, 46 153 300 
STE MAROCAINE DE DIFFUSION DE GAZ (DIMAGAZ), importation et distribution de gaz, 605 Angle Bd Mohamed V Et Rue Ibnou Mouataz,Casablanca,33.590214 : -7.591511,31319,Tribunal de Casablanca,1536527000089.0,,societe-ste-marocaine-de-diffusion-de-gaz-80727, 150 000 000 
COMPAGNIE MARITIME MAROCO NORVEGIENNE (COMARIT), armateur - agence de voyage - transport maritime, Angle Avenue Des Far Et Rue Marseille Imm. Hasnae,Tanger-Medina (AR),35.7666667 : -5.7999999999999545,4445,Tribunal de Tanger,,,societe-compagnie-maritime-maroco-norvegienne-29554, 50 000 000 
EURO MAROC PHOSPHORE (EMAPHOS), production d'acide phosphorique purifie - production de produits chimiques non organique, Immeuble Ocp Hay Erraha 2-4 Rue Al Abtal,Casablanca,33.552207 : -7.646883,82423,Tribunal de Casablanca,1539542000067.0,,societe-euro-maroc-phosphore-79558, 346 500 000 
COMANAV-FERRY, le transport maritime de passagers., 3 Rue Ibn Rochd 3eme Etage,Tanger-Medina (AR),35.7666667 : -5.7999999999999545,33773,Tribunal de Tanger,76786000056.0,,societe-comanav-ferry-202850, 450 000 000 
GAZAFRIC, centre de stockage et emplissage de gaz," Kilometre 14, Route De Tiznit, Quartier Industriel De Sidi Bibi Bp 6291",Sidi Bibi,30.239663 : -9.526834,209,Tribunal de Agadir,205909000012.0,,societe-gazafric-30511, 100 000 000 
LAFARGE CEMENTOS, fabrication et vente de ciment,,,35.7666667 : -5.7999999999999545,965,Tribunal de Tanger,1515471000084.0,,societe-lafarge-cementos-41843, 2 014 200 
BESIX-SOMAGEC, construction du gros oeuvre de batiments - entreprise de tous travaux de genie civil et de construction," Angle Rue Mesfioui Et Corbi, Oukacha Ain Sebaa Hay Mohamadi",Casablanca,33.606657 : -7.565023,167933,Tribunal de Casablanca,12814000021.0,,societe-besix-somagec-195125, 300 000 
TRAVAUX GENERAUX DE CONSTRUCTIONS DE CASABLANCA (TGCC), travaux de construction - genie civil, 4 Rue Imam Mouslim Oasis,Casablanca,33.558005 : -7.63109,63907,Tribunal de Casablanca,1533032000073.0,,societe-travaux-generaux-de-constructions-de-casablanca-47993, 316 398 500 
BISCUITERIE INDUSTRIELLE DU MOGHREB (BIMO)," fabrication et commercialisation de biscuits, gaufrettes et patisseries industrielles"," Rue E, Route 110 Boulevard Chefchaouni Ain Sebaa",Ain-Sebaa (AR),33.58694440000001 : -7.6111111000000164,39395,Tribunal de Casablanca,1514177000005.0,,societe-biscuiterie-industrielle-du-moghreb-61074, 100 000 000 
SEWS MAROC," la fabrication, la production, la commercialisation et la distribution de faisceaux de fils et de toutes autres pieces automobiles.", Lt Zone Industrielle Bir Rami,Kenitra (M),34.257394 : -6.590154,33463,Tribunal de Kenitra,1550063000016.0,,societe-sews-maroc-194246, 158 902 600 
SAVOLA MOROCCO, raffinage d'huiles de tables, Rte. Principale Ndeg7 Route De Marrakech Z I,Berrechid (M),33.596457 : -7.615478,13203,Tribunal de Berrechid,1536638000002.0,,societe-savola-morocco-129114, 46 000 000 
AL OMRANE SOUSS MASSA, habitat - amenagement - construction, Angle Avenue Du 29 Fevrier Et Cheikh Saadi Talborjt,Agadir (M),30.424994 : -9.588099,14049,Tribunal de Agadir,1537033000007.0,,societe-al-omrane-souss-massa-197767, 373 266 300 
SOCIETE NATIONALE D'ELECTROLYSE ET DE PETROCHIMIE (SNEP), fabrication de produits chimiques.," 233 Boulevard Mohamed V,",Casablanca,33.593485 : -7.603666,89823,Tribunal de Casablanca,219297000055.0,,societe-societe-nationale-d-electrolyse-et-de-petrochimie-90920, 240 000 000 
MODERNE CONTRACTING, entreprise de batiment - travaux de construction, Residence Al Badr Ndeg104 Quartier Beausite 2eme Etage Ain Sebaa,Ain-Sebaa (AR),33.5953136205 : -7.53820890708,128259,Tribunal de Casablanca,12539000074.0,,societe-moderne-contracting-144795, 30 000 000 
BIOUI TRAVAUX, travaux de construction., Douar Snayna,Isly,34.685374 : -1.917343,16337,Tribunal de Oujda,99913000016.0,,societe-bioui-travaux-108383, 100 000 000 
SOCIETE CHERIFIENNE D'AUTOMOBILES ET DE MATERIEL AGRICOLE (SCAMA), commerce de vehicules automobiles - import et export," Km 12, Autoroute Casablanca Rabat",Casablanca,33.533333 : -7.583333,82457,Tribunal de Casablanca,1538022000076.0,,societe-societe-cherifienne-d-automobiles-et-de-materiel-agricole-73634, 200 000 000 
AL MANAR DEVELOPMENT COMPANY, l'amenagement et le developpement de projets marina casa," 1 Rue Patrice Lumumba Immeuble Cdg, Place Moulay El Hassan Hassan",Hassan (AR),34.021628 : -6.831663,22233,Tribunal de Rabat,518340000077.0,,societe-al-manar-development-company-15798, 622 783 872 
IMACAB, fabrication et commercialisation de cables electriques, Bd Ahl Loghlam Quartier Industriel Sidi Moumen 20400,Sidi Moumen (AR),33.599474 : -7.469188,99253,Tribunal de Casablanca,85058000006.0,,societe-imacab-102321, 100 004 700 
GROUPE PALMERAIE DEVELOPPEMENT, agence immobiliere," Circuit De La Palmeraie, Palmeraie Village Bp 1487",Marrakech-Medina (AR),31.624961 : -7.992414,6041,Tribunal de Marrakech,69968000036.0,,societe-groupe-palmeraie-developpement-6412, 493 893 500 
FANDY COMPAGNIE AGRICOLE DE COMMERCIALISATION ET DE CONDITIONNEMENT DES CEREALES ET LEGUMINEUSES (FANDYCOPRAGRI), commerce de gros de cereales legumineuses - commerce de gros de tous corps gras.,,,33.599138 : -7.572174,39301,Tribunal de Casablanca,1696811000076.0,,societe-fandy-compagnie-agricole-de-commercialisation-et-de-conditionnement-des-cereales-et-legumineuses-59984, 45 000 400 
SOCIETE NATIONALE DES TRANSPORTS ET DE LA LOGISTIQUE (SNTL), transports routiers de marchandises - commissionnaires de transports," 1-4, Rue Al Fadila, Quartier Industriel, C.y.m",Yacoub El Mansour (AR),33.985487 : -6.872064,65557,Tribunal de Rabat,529760000003.0,,societe-societe-nationale-des-transports-et-de-la-logistique-184230, 552 000 000 
RITA FER, commerce de materiaux de construction, Residence Riad Arrida Marina Center Ang Bd Zerktouni Et Med Ben Abdellah 5eme Etage Appt 31,Casablanca,33.58694440000001 : -7.6111111000000164,202259,Tribunal de Casablanca,1533322000003.0,,societe-rita-fer-151951, 30 000 000 
SE BORDNETZE MOROCCO (SEBN MA), fabrication des faisceaux de cables pour automobiles, Lot 32 Zone Franche D'exportation Tanger,Tanger-Medina (AR),35.718396 : -5.914545,16941,Tribunal de Tanger,65981000015.0,,societe-se-bordnetze-morocco-115494, 51 600 000 
DAMANDIS," fabrication, representation, negoce et commerce de tout articles et produits agroalimentaires", 70-74 Rue Ouled Ziane Et Mohamed Smiha,Casablanca,33.592347 : -7.607751,61981,Tribunal de Casablanca,1525556000068.0,,societe-damandis-86356, 50 000 000 
ROCHE, fabrication et commercialisation de specialites pharmaceutiques," Ivoire 5,2 Boulevard Sidi Mohammed Ben Bdellah 1er Etage Bureau 2 Immeuble 06 Marina",Casablanca,33.588445 : -7.642735,27501,Tribunal de Casablanca,1534682000046.0,,societe-roche-65250, 59 500 400 
CARGILL MAROC," achat vente importation exportation representation consignation conditionnement de produits agricoles, cereales et de graines oleagineuses production"," 7. Rue Latifi El Mekki, 1er Etage",Casablanca,33.58857 : -7.60603,88485,Tribunal de Casablanca,1726950000056.0,,societe-cargill-maroc-85108, 124 122 000 
SOCIETE ANONYME MAROCAINE DE L'INDUSTRIE DU RAFFINAGE (SAMIR), commerce et production de combustibles et produits petrolier, Route Cotiere De Mohammedia Bp 89 & 101,Mohammedia (M),33.6833333 : -7.383333300000004,91,Tribunal de Mohammedia,1529761000023.0,,societe-societe-anonyme-marocaine-de-l-industrie-du-raffinage-43119, 1 189 966 500 
ITTISSALAT AL MAGHRIB (IAM), service de telecommunication," Hay Ryad, Avenue Annakhil",Rabat,33.961593 : -6.877199,48947,Tribunal de Rabat,1522585000066.0,,societe-ittissalat-al-maghrib-91601, 8 790 953 400 
SOCIETE MAROCAINE DES TABACS, fabrication et commerce de cigarettes et produits du tabac.," 87, Rue Ahmed El Figuigui",Casablanca,33.60394 : -7.644405,30087,Tribunal de Casablanca,1524620000023.0,,societe-societe-marocaine-des-tabacs-61178, 712 000 000 
MAROC PHOSPHORE (MP), fabricant de produits chimiques," 2, Rue Al Abtal Hay Erraha",Casablanca,33.58694440000001 : -7.6111111000000164,39755,Tribunal de Casablanca,,,societe-maroc-phosphore-81642, 6 500 000 000 
COMPAGNIE NATIONALE ROYAL AIR MAROC (R.A.M ), exploitation transports,,,33.594146 : -7.646586,9667,Tribunal de Casablanca,1526005000070.0,,societe-compagnie-nationale-royal-air-maroc-70550, 4 212 240 200 
OFFICE CHERIFIEN DES PHOSPHATES (OCP )," production, extraction et commercialisation de phosphate et produits derives", Hay Erraha Rue Al Abtal Ndeg 2-4,Casablanca,33.552207 : -7.646883,40327,Tribunal de Casablanca,1536409000074.0,,societe-office-cherifien-des-phosphates-57215, 8 287 500 000 
VIVO ENERGY MAROC (VEM), commerce de produits petroliers et chimiques - import et export.," Immeuble Zenith Ii, Lotissement Attaoufik, Route De Nouaceur, Sidi Maarouf",Casablanca,33.531444 : -7.635485,463,Tribunal de Casablanca,230893000079.0,,societe-vivo-energy-maroc-2833, 248 400 000 
MARJANE HOLDING, gestion de magasins de grande distribution (hypermarches et supermarches) - transport de marchandises," Route De Bouskoura Centre Commercial Marjane, Ct 1029, Commune De Ain Chock",Ain-Chock (AR),33.54271 : -7.63942,63513,Tribunal de Casablanca,1531173000020.0,,societe-marjane-holding-48743, 538 986 100 
TOTAL ENERGIES MARKETING MAROC (TEMM), commerce de combustibles.,,,33.58325 : -7.622245,39,Tribunal de Casablanca,1524641000038.0,,societe-totalenergies-marketing-maroc-4047, 448 000 000 
CENTRALE DANONE (CD ), fabrication et commerce de produits agricoles et laitiers - viticulture., Bd Sidi Mohamed Ben Abdellah Imm Tour Crystal La Marine 3,Casablanca,33.58694440000001 : -7.6111111000000164,26977,Tribunal de Casablanca,1541584000029.0,,societe-centrale-danone-1115, 129 886 000 
TAQA MOROCCO, production d'energie electrique,,,33.193651 : -8.588159,2145,Tribunal de Eljadida,168331000095.0,,societe-taqa-morocco-82895, 2 358 854 200 
LYDEC (LYDEC)," entrepreneur de la gestion d'exploitation industrielle, exploitant concession de services de distribution d'eau potables d'assainissement.",,,33.59372 : -7.60833,80617,Tribunal de Casablanca,230990000079.0,,societe-lydec-78635, 800 000 000 
MEDI TELECOM, concessionnaire de services telephoniques," Lotissement La Colline, Immeuble Les Quatre Temps Sidi Maarouf",Casablanca,33.52482 : -7.65048,97815,Tribunal de Casablanca,1524628000001.0,,societe-medi-telecom-99564, 2 373 168 700 
SOCIETE NATIONALE DE SIDERURGIE (SONASID), fabrication et vente de ronds a beton et fil machine, Route Principale Ndeg2 Km 18 Route Al Hociema Bp 551,Al Aaroui (M),35.012754 : -3.002522,3555,Tribunal de Nador,1541032000092.0,,societe-societe-nationale-de-siderurgie-86794, 390 000 000 
LAFARGEHOLCIM MAROC, production de ciment.," 6, Route De Mekka, Quartier Les Cretes, Bp 7234",Casablanca,33.532723 : -7.617047,40779,Tribunal de Casablanca,1561191000066.0,,societe-lafargeholcim-maroc-55049, 702 937 200 
RENAULT COMMERCE MAROC, concessionnaire de vehicules automobiles, 44 Avenue Khalid Bnou Loualid,Casablanca,33.58694440000001 : -7.6111111000000164,869,Tribunal de Casablanca,1536506000074.0,,societe-renault-commerce-maroc-1757, 50 000 000 
COMPAGNIE SUCRERIE MAROCAINE ET DE RAFFINAGE (COSUMAR), raffinage de sucres,,,33.604586 : -7.573197,30037,Tribunal de Casablanca,1555060000024.0,,societe-cie-sucriere-marocaine-et-de-raffinage-59680, 944 871 430 
PETROLES DU MAGHREB (PETROM)," importation et distribution de produits petroliers et de produits chimiques, gaz, butane, propane et lubrifiants"," Immeuble Petrom 7, Lotissement La Colline 2 Sidi Maarouf -20270",Casablanca,33.515464 : -7.656934,5377,Tribunal de Casablanca,1525818000075.0,,societe-petroles-du-maghreb-6923, 396 000 000 
LESIEUR CRISTAL, fabrication d'huiles vegetales - production de savons.,,,33.606657 : -7.565023,4171,Tribunal de Casablanca,1569079000005.0,,societe-lesieur-cristal-7070, 276 315 100 
SOCIETE MAROCAINE DE CONSTRUCTIONS AUTOMOBILES (SOMACA)," montage et assemblage de pieces, ensembles mecaniques et de carrosseries de vehicules de tourisme"," Km 12, Autoroute De Rabat Bp 2628",Casablanca,33.609434 : -7.519515,26963,Tribunal de Casablanca,1592107000019.0,,societe-societe-marocaine-de-constructions-automobiles-79549, 60 000 000 
OLA ENERGY MAROC, distribution de carburants et lubrifiants et derives du petrole,,,33.52482 : -7.65048,179,Tribunal de Casablanca,1526906000090.0,,societe-mobile-oil-maroc-959, 49 500 000 
WINXO," stockage, transport et distribution des hydrocarbures liquides et gazeux"," Rond Point Des Sports, Boulevard Abdellatif Benkaddour",Casablanca,33.590153 : -7.647044,27243,Tribunal de Casablanca,230488000053.0,,societe-winxo-65952, 33 344 000 
DOUJA PROMOTION GROUPE ADDOHA, promotion immobiliere - logements economiques,,,33.609434 : -7.519515,52405,Tribunal de Casablanca,1546188000075.0,,societe-douja-promotion-groupe-addoha-51919, 4 025 512 540 
LES HUILERIES DU SOUSS BEL HASSAN (H.S.B ), raffinage d'huiles alimentaires - commerce de grains et de cereales - negoce - import export," Rue Al Milaha, Anza, Quartier Industriel Bp 135",Agadir (M),30.43916 : -9.645354,6211,Tribunal de Agadir,103424000085.0,,societe-les-huileries-du-souss-bel-hassan-93280, 386 850 000 
CIMENTS DU MAROC (CIMAR)," vente de ciments fabrication de ciment et liants hydrauliques. beton pret a l'emploi, granulats et adjuvants."," 621, Boulevard Panoramique Lot My Idriss Ndeg 30, 20150",Casablanca,33.55078 : -7.61472,70617,Tribunal de Casablanca,1524400000046.0,,societe-ciments-du-maroc-41140, 1 443 600 384 
AFRIQUIA GAZ, production et distribution de gaz de petrole liquefie (carburants & lubrifiants), Rue Ibnou El Ouennane Ain Sebaa,Ain-Sebaa (AR),33.571167 : -7.612913,68545,Tribunal de Casablanca,1534312000045.0,,societe-afriquia-gaz-48255, 343 750 000 
WANA CORPORATE," marchand importateur materiels logiciels, produits de telecommunication, informatique et multimedia."," N1-2 Lotissement La Colline 2, Sidi Maarouf",Casablanca,33.52482 : -7.65048,99907,Tribunal de Casablanca,1527682000090.0,,societe-wana-corporate-104201, 5 857 302 900 
SOCIETE MAROCAINE DES CARBURANTS ZIZ (S.M.C. ZIZ), distribution et vente de carburants et de gaz,,,33.609434 : -7.519515,32235,Tribunal de Casablanca,1529945000002.0,,societe-societe-marocaine-des-carburants-ziz-58760, 75 000 000 
REDAL, distribution d'eau et d'electricite et d'assainissement liquide," 6, Zankat Al Hoceima",Rabat,34.02244 : -6.83035,49603,Tribunal de Rabat,1562062000023.0,,societe-redal-96524, 400 000 000 
ARADEI CAPITAL, hypermarche, 1 Bd Zoulikha Nassri,Casablanca,33.58694440000001 : -7.6111111000000164,57265,Tribunal de Casablanca,1690663000008.0,,societe-aradei-capital-53086, 1 121 396 400 
CFAO MOTORS MAROC, importation et commercialisation de vehicules automobiles et pieces de rechange," Arrondissement De Sidi Bernoussi, Km 11, Route Ndeg111",Casablanca,33.58694440000001 : -7.6111111000000164,104285,Tribunal de Casablanca,214503000095.0,,societe-cfao-motors-maroc-107159, 89 664 000 
SOCIETE D'AMENAGEMENT DE SAIDIA, promotion immobiliere et tourstique, Station Balneaire Bp 122,Saidia (M),35.087183 : -2.231814,1049,Tribunal de Berkane,1653896000019.0,,societe-societe-d-amenagement-de-saidia-164857, 240 000 000 
SOCIETE MAROCAINE DE COOPERATION PHARMACEUTIQUE (COOPER PHARMA)," fabrication, conditionnement et commerce de produits pharmaceutiques", 41 Rue Mohamed Diouri Bp 13278,Casablanca,33.590795 : -7.605085,29615,Tribunal de Casablanca,1537049000060.0,,societe-societe-marocaine-de-cooperation-pharmaceutique-62192, 274 160 900 
NESTLE MAROC, exploitant ets inudstriel pour la pasteurisation du lait," Zone Industrielle, Lot Ndeg 53",El-Jadida (M),33.2333333 : -8.5,279,Tribunal de Eljadida,509795000029.0,,societe-nestle-maroc-23784, 156 932 992 
GLOBAL ENGINES," commerce de vehicules automobiles, camions, camionnettes et autocars"," Quartier Sidi Maarouf,florida Center Park 2,lots Ndeg3et Lots Ndeg8,5eme Etage",Casablanca,33.58694440000001 : -7.6111111000000164,100829,Tribunal de Casablanca,26687000064.0,,societe-global-engines-103829, 120 000 000 
SOGEA MAROC, travaux de genie civil et de canalisations - travaux de construction.,,,33.892094 : -6.962044,50075,Tribunal de Rabat,1527419000013.0,,societe-sogea-maroc-98336, 25 000 000 
HOLCIM AOZ, fabrication de ciment et beton arme,,,34.015049 : -6.832719999999995,62225,Tribunal de Rabat,,,societe-holcim-aoz-112515, 666 667 000 
DISWAY, distributeur de materiel et logiciel informatique,,,33.52482 : -7.65048,41253,Tribunal de Casablanca,1527235000034.0,,societe-disway-61038, 188 576 200 
FROMAGERIES BEL MAROC, production de fromages, Allee 1 Et Allee 2 Lot 40 Zone Industrielle Meghougha Route Tetouan,Tanger-Medina (AR),35.76025 : -5.782748,2813,Tribunal de Tanger,1530549000087.0,,societe-fromageries-bel-maroc-37762, 46 200 000 
LES EAUX MINERALES D'OULMES, exploitation d'une station thermale - production et distribution d'eaux minerales et de boissons gazeuses, Zone Industrielle De Bouskoura 20.180,Bouskoura,33.420351 : -7.644885,2215,Tribunal de Casablanca,81601000031.0,,societe-les-eaux-minerales-d-oulmes-4597, 198 000 000 
CEGELEC," integrateur de solutions et services technologiques - conception, installation et maintenance des systemes ou sous-systemes dans l'industrie, les infrastructures et le tertiaire."," 62, Boulevard Oqba Ibnou Nafia",Casablanca,33.582345 : -7.567645,6809,Tribunal de Casablanca,205098000084.0,,societe-cegelec-6882, 43 423 264 
CMCP INTERNATIONAL PAPER (CMCP), fabrication de papier - transformation d'emballages en carton ondule., Quartier Industriel Kenitra Mamora Bp:94  ,Kenitra (M),34.257394 : -6.590154,9919,Tribunal de Kenitra,1525201000050.0,,societe-cmcp-international-paper-17828, 448 220 000 
STOCK-PRALIM," distribution de produits alimentaires - import, distribution de produits alimentaires, production : biscuiterie", 47 Rue De Marrakech.,Oujda (M),34.681544 : -1.911028,14743,Tribunal de Oujda,1536424000057.0,,societe-stock-pralim-28037, 250 000 000 
AL OMRANE MARRAKECH-SAFI," construction de batiments - genie civil - amenagement des terrains, realisation de logements pour le compte de l'etat ou des collectivites locales", Place 16 Novembre Ave Med V Gueliz,Gueliz (AR),31.632575 : -8.008305,29019,Tribunal de Marrakech,71587000070.0,,societe-al-omrane-marrakech-safi-197756, 304 024 704 
ASWAK ASSALAM, hypermarche - import de tous produits - vente en gros., 239 Bd Mohamed V -20110,Casablanca,33.593485 : -7.603666,91099,Tribunal de Casablanca,27495000073.0,,societe-aswak-assalam-88628, 410 000 000 
TRACTAFRIC EQUIPMENT MAROC (TRACTAFRIC), vente de machines et de pieces de rechanges,,,33.600214 : -7.50934,65919,Tribunal de Casablanca,1524532000071.0,,societe-tractafric-equipment-maroc-83421, 79 000 000 
ASMENT DE TEMARA," production, fabrication et commercialisation du ciment", Ain Attig Route De Casablanca,Ain Attig,33.892094 : -6.962044,24741,Tribunal de Rabat,1526475000087.0,,societe-asment-de-temara-18643, 495 000 000 
